מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025 A,2025 B,2024 A,2024 B
36914323,מיקרוסקופיית אור,3.5,,Label Not Found,76.5,Label Not Found,73.33
36914311,טיפול בנתונים מספריים לביו,3,,Label Not Found,75.0,Label Not Found,80.67
36911191,בינה תפעולית,2,,95.15,Label Not Found,Label Not Found,93.15
37211101,מבוא למע' מידע ושימושי מחשב,3.5,,82.56,Label Not Found,86.7,Label Not Found
37211111,מבוא למדעי המחשב בשפת (פייטון),5.0,,72.85,Label Not Found,77.51,89.25
90015001,לומדה להכרת החוק למניעת הטרדה מינית,0,,Label Not Found,Label Not Found,Label Not Found,Label Not Found
20119111,מתמטיקה דיסקרטית,6.0,,Label Not Found,80.26,Label Not Found,84.16
20119761,"חדו""א 2 להנדסת מערכות תוכנה ומידע",4.0,20119711,Label Not Found,80.95,Label Not Found,85.03
37211021,מבוא להסתברות,3.5,"20119711, 37211111",Label Not Found,72.95,Label Not Found,76.23
37211115,מבני נתונים,5.0,37211111,Label Not Found,76.06,Label Not Found,80.06
37211131,מבוא לתכנות מונחה עצמים,1.5,37211111,Label Not Found,92.39,Label Not Found,94.49
37212021,אמידה ומבחני השערות,3.5,37211021,83.57,Label Not Found,83.85,70.0
37212051,אלגוריתמים,4.0,"37211115, 20119111",78.1,Label Not Found,82.58,75.0
37212102,תכנות מתקדם,4.5,"37211111, 37211115",71.81,Label Not Found,79.12,87.0
37212501,מבנה מערכות מחשוב,3.5,"37211115, 20119111",80.76,Label Not Found,86.46,Label Not Found
38213305,בסיסי נתונים,3.5,37211115,84.24,Label Not Found,82.47,80.0
14213141,מבוא לכלכלה,3.5,,89.11,86.46,90.5,91.04
37213041,מבוא לתקשורת נתונים*,3.5,"37211117, 37212051, 37211021",83.25,Label Not Found,90.97,94.0
37213501,הנדסת איכות תוכנה,3.5,37212102,82.93,Label Not Found,88.18,79.2
37213502,מבוא לבינה מלאכותית,3.5,"37212102, 37212306",86.72,Label Not Found,88.37,88.33
37214406,אחזור מידע,3.5,"37212051, 20119321",77.37,Label Not Found,83.24,85.9
38213051,למידה חישובית*,5.0,37213021,81.56,81.94,89.16,93.0
37212402,סביבות פיתוח באינטרנט,3.0,"37211101, 38213305, 37212104",Label Not Found,85.55,Label Not Found,86.85
37212801,מנשקי אדם-מחשב,3.0,37211101,86.4,Label Not Found,Label Not Found,90.92
37213601,סדנת הכנה לפרויקט,2.0,"37213501, 37213801",Label Not Found,89.99,Label Not Found,93.45
37214108,ניהול פרויקטי תוכנה,3.0,"37211021, 37213801",Label Not Found,88.81,87.63,Label Not Found
37214601,אבטחת מחשבים ורשתות תקשורת,3.5,"38213305, 37213041, 37211117",Label Not Found,85.29,Label Not Found,87.94
37214902,ניתוח וקבלת החלטות במערכות מידע,3.0,37211021,Label Not Found,89.59,Label Not Found,90.42
38213602,אתיקה של מדעי הנתונים,2.0,"37211101, 37211021",Label Not Found,90.42,Label Not Found,84.96
38212603,נתוני עתק )ataD giB(,3.5,38213305,81.58,Label Not Found,Label Not Found,Label Not Found
68111051,מדעי התנהגות במנהל,3.0,,88.65,Label Not Found,90.16,91.44
38211111,מבוא למדעי המחשב בשפת (פייטון),5.0,,70.56,Label Not Found,76.73,94.0
38211101,מבוא להנדסת הנתונים,3.5,,83.24,Label Not Found,82.94,90.0
38212201,מבוא לסטטיסטיקה,3.5,37211021,85.34,Label Not Found,86.63,Label Not Found
38212705,אנליזה נומרית ואופטימיזציה,3.5,"20119321, 20119711",85.77,Label Not Found,92.98,90.0
